Electric Load;load-generation balance
Photovoltaic System;load-generation balance
Wind Energy system;load-generation balance
Battery storages;control the battery and enhance the operation of the system
Battery storages;control the battery and enhance the operation of the system
Battery storages;control the battery and enhance the operation of the system
Electric Load;control the battery and enhance the operation of the system
Photovoltaic System;control the battery and enhance the operation of the system
Wind Energy system;control the battery and enhance the operation of the system
charging station for electric vehicles;control the battery and enhance the operation of the system
(Prosumers) Households with Photovoltaic cells and wind turbines;control the battery and enhance the operation of the system
Transformer;control the battery and enhance the operation of the system
Transmission line;control the battery and enhance the operation of the system
Battery storages;decrease the power consumption from power utility by using available energy from the solar panels
Battery storages;decrease the power consumption from power utility by using available energy from the solar panels
Battery storages;decrease the power consumption from power utility by using available energy from the solar panels
Electric Load;decrease the power consumption from power utility by using available energy from the solar panels
Photovoltaic System;decrease the power consumption from power utility by using available energy from the solar panels
Wind Energy system;decrease the power consumption from power utility by using available energy from the solar panels
charging station for electric vehicles;decrease the power consumption from power utility by using available energy from the solar panels
(Prosumers) Households with Photovoltaic cells and wind turbines;decrease the power consumption from power utility by using available energy from the solar panels
Transformer;decrease the power consumption from power utility by using available energy from the solar panels
Transmission line;decrease the power consumption from power utility by using available energy from the solar panels
Battery storages;supply power power to the electric load
Battery storages;supply power power to the electric load
Battery storages;supply power power to the electric load
Electric Load;supply power power to the electric load
Photovoltaic System;supply power power to the electric load
Wind Energy system;supply power power to the electric load
charging station for electric vehicles;supply power power to the electric load
(Prosumers) Households with Photovoltaic cells and wind turbines;supply power power to the electric load
Transformer;supply power power to the electric load
Transmission line;supply power power to the electric load
Battery storages;supply power to homes even in the event of an electric grid outage
Battery storages;supply power to homes even in the event of an electric grid outage
Battery storages;supply power to homes even in the event of an electric grid outage
Electric Load;supply power to homes even in the event of an electric grid outage
Photovoltaic System;supply power to homes even in the event of an electric grid outage
Wind Energy system;supply power to homes even in the event of an electric grid outage
charging station for electric vehicles;supply power to homes even in the event of an electric grid outage
(Prosumers) Households with Photovoltaic cells and wind turbines;supply power to homes even in the event of an electric grid outage
Transformer;supply power to homes even in the event of an electric grid outage
Transmission line;supply power to homes even in the event of an electric grid outage
Heating/Ventilation and Air-Conditioning system (HVAC);to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Building Management System (BMS);to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Lighting CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Smart Grid CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Smart Grid CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Audiovisual Management CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Online Scheduling CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Online Scheduling CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Fire Detection CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Fire Detection CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Security Surveillance CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
Security Surveillance CS;to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
