,constituent,emergent_behavior
0,Storage Agent,load-generation balance
1,Battery storages,load-generation balance
2,Storage Agent,load-generation balance
3,Battery storages,load-generation balance
4,Battery storages,load-generation balance
5,Battery storages,load-generation balance
6,Battery storages,load-generation balance
7,Electric Load,load-generation balance
8,Building Management System (BMS),load-generation balance
9,Heating/Ventilation and Air-Conditioning system (HVAC),load-generation balance
10,Building Management System (BMS),load-generation balance
11,smart home applications utilizing IoT technologies,load-generation balance
12,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),load-generation balance
13,Heating/Ventilation and Air-Conditioning system (HVAC),load-generation balance
14,one heating system,load-generation balance
15,distributed traffic lights network,load-generation balance
16,distributed traffic lights network,load-generation balance
17,Storage Agent,supply power to homes even in the event of an electric grid outage
18,Battery storages,supply power to homes even in the event of an electric grid outage
19,Storage Agent,supply power to homes even in the event of an electric grid outage
20,Battery storages,supply power to homes even in the event of an electric grid outage
21,Battery storages,supply power to homes even in the event of an electric grid outage
22,Battery storages,supply power to homes even in the event of an electric grid outage
23,Battery storages,supply power to homes even in the event of an electric grid outage
24,Electric Load,supply power to homes even in the event of an electric grid outage
25,Building Management System (BMS),supply power to homes even in the event of an electric grid outage
26,Heating/Ventilation and Air-Conditioning system (HVAC),supply power to homes even in the event of an electric grid outage
27,Building Management System (BMS),supply power to homes even in the event of an electric grid outage
28,smart home applications utilizing IoT technologies,supply power to homes even in the event of an electric grid outage
29,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),supply power to homes even in the event of an electric grid outage
30,Heating/Ventilation and Air-Conditioning system (HVAC),supply power to homes even in the event of an electric grid outage
31,one heating system,supply power to homes even in the event of an electric grid outage
32,distributed traffic lights network,supply power to homes even in the event of an electric grid outage
33,distributed traffic lights network,supply power to homes even in the event of an electric grid outage
34,Storage Agent,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
35,Battery storages,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
36,Storage Agent,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
37,Battery storages,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
38,Battery storages,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
39,Battery storages,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
40,Battery storages,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
41,Electric Load,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
42,Building Management System (BMS),to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
43,Heating/Ventilation and Air-Conditioning system (HVAC),to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
44,Building Management System (BMS),to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
45,smart home applications utilizing IoT technologies,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
46,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
47,Heating/Ventilation and Air-Conditioning system (HVAC),to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
48,one heating system,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
49,distributed traffic lights network,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
50,distributed traffic lights network,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
51,Storage Agent,minimize the average vehicle waiting time in the network
52,Battery storages,minimize the average vehicle waiting time in the network
53,Storage Agent,minimize the average vehicle waiting time in the network
54,Battery storages,minimize the average vehicle waiting time in the network
55,Battery storages,minimize the average vehicle waiting time in the network
56,Battery storages,minimize the average vehicle waiting time in the network
57,Battery storages,minimize the average vehicle waiting time in the network
58,Electric Load,minimize the average vehicle waiting time in the network
59,Building Management System (BMS),minimize the average vehicle waiting time in the network
60,Heating/Ventilation and Air-Conditioning system (HVAC),minimize the average vehicle waiting time in the network
61,Building Management System (BMS),minimize the average vehicle waiting time in the network
62,smart home applications utilizing IoT technologies,minimize the average vehicle waiting time in the network
63,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),minimize the average vehicle waiting time in the network
64,Heating/Ventilation and Air-Conditioning system (HVAC),minimize the average vehicle waiting time in the network
65,one heating system,minimize the average vehicle waiting time in the network
