,Index,Emergent Behavior
0,000,load-generation balance
1,001,supply power to homes even in the event of an electric grid outage
2,002,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
3,003,minimize the average vehicle waiting time in the network
4,004,"north-to-south, red-to-green transition times"
5,005,avoid many simultaneous charging cycles
6,006,minimum peak loads emerging
7,007,cost limits are not exceeded
8,008,balance between energy production and consumption
9,009,optimise energy usage in a range of weather conditions
10,010,promote to use a VPP from a new electricity production cost policy
11,011,cluster together into local energy collectives
12,012,market mechanisms
13,013,peak optimization
14,014,distributed negotiations between groups
15,015,optimizations of the decisions of the Smart Grid given the best control design
16,016,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
17,017,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
18,018,agents perform different functions based on their unique advantages relative to other agents postdisruption
19,019,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
20,020,Negotiation and collaboration for resource allocation and demand efficiency
21,021,Resolution of potencial conflicts
22,022,supply power power to the electric load
23,023,Different responses according to different demand/response schemes (price-based)
24,024,decision about the best control design of the Smart Grid
25,025,to proactively plan the DC operation as a system to be able to exploit its latent flexible energy to achieve a deeper and more efficient integration with the local Smart Grid.
26,026,energy consumption/production patterns
27,027,demand side management
28,028,battery storage models
29,029,use storage and demand-response techniques
30,030,balance energy consumption and production
31,031,deploy batteries in different ways depending on the behaviour of their members
32,032,Optimize the overall charging behavior
33,033,grid stability
34,034,control the battery and enhance the operation of the system
35,035,decrease the power consumption from power utility by using available energy from the solar panels
36,036,minimize the local waiting time for vehicles
37,037,Balance between battery consumption and energy production
38,038,reduce costs with health
39,039,prevent pandemy
40,040,improve citizens health
